MISSION_LOG: t=2025-04-15T15:54:05.432Z | Mission 10_0_2_15_20250415155405_864c7t STARTED for robot at 10.0.2.15
limo2 : SCAN_LOG: t=19:00:22.125 | min_dist=2.67m@-39° | obstacles(<0.5m)=0 | F/L/R/B=2.67/4.36/2.71/Infinitym | avg=4.21m var=1.56
limo1 : SCAN_LOG: t=19:00:22.250 | min_dist=0.67m@-89° | obstacles(<0.5m)=0 | F/L/R/B=4.43/3.38/0.67/Infinitym | avg=5.03m var=6.09
limo2 : SCAN_LOG: t=19:00:22.250 | min_dist=2.59m@-39° | obstacles(<0.5m)=0 | F/L/R/B=2.59/4.29/2.62/Infinitym | avg=4.14m var=1.59
limo1 : SCAN_LOG: t=19:00:22.375 | min_dist=0.69m@-98° | obstacles(<0.5m)=0 | F/L/R/B=4.33/3.28/0.69/Infinitym | avg=5.18m var=5.47
limo2 : SCAN_LOG: t=19:00:22.375 | min_dist=2.52m@-39° | obstacles(<0.5m)=0 | F/L/R/B=2.52/4.24/2.54/Infinitym | avg=4.07m var=1.65
limo1 : SCAN_LOG: t=19:00:22.500 | min_dist=0.69m@-99° | obstacles(<0.5m)=0 | F/L/R/B=4.23/3.47/0.69/Infinitym | avg=5.34m var=4.74
limo2 : SCAN_LOG: t=19:00:22.500 | min_dist=2.44m@-37° | obstacles(<0.5m)=0 | F/L/R/B=2.44/4.16/2.46/Infinitym | avg=4m var=1.7
limo1 : SCAN_LOG: t=19:00:22.625 | min_dist=0.71m@-106° | obstacles(<0.5m)=0 | F/L/R/B=4.14/3.37/0.71/Infinitym | avg=5.47m var=4.11
limo2 : SCAN_LOG: t=19:00:22.625 | min_dist=2.37m@-40° | obstacles(<0.5m)=0 | F/L/R/B=2.37/4.1/2.39/Infinitym | avg=3.92m var=1.71
limo1 : SCAN_LOG: t=19:00:22.750 | min_dist=0.72m@-108° | obstacles(<0.5m)=0 | F/L/R/B=4.03/3.49/0.72/Infinitym | avg=5.57m var=3.55
limo2 : SCAN_LOG: t=19:00:22.750 | min_dist=2.29m@-39° | obstacles(<0.5m)=0 | F/L/R/B=2.29/4.04/2.32/Infinitym | avg=3.84m var=1.74
limo1 : SCAN_LOG: t=19:00:22.875 | min_dist=0.76m@-113° | obstacles(<0.5m)=0 | F/L/R/B=3.94/3.44/0.76/Infinitym | avg=5.66m var=3.05
limo2 : SCAN_LOG: t=19:00:22.875 | min_dist=2.21m@-39° | obstacles(<0.5m)=0 | F/L/R/B=2.21/3.97/2.22/Infinitym | avg=3.77m var=1.79
limo1 : SCAN_LOG: t=19:00:23.000 | min_dist=0.81m@-120° | obstacles(<0.5m)=0 | F/L/R/B=3.83/3.58/0.81/Infinitym | avg=5.76m var=2.56
limo2 : SCAN_LOG: t=19:00:23.000 | min_dist=2.12m@-37° | obstacles(<0.5m)=0 | F/L/R/B=2.12/3.91/2.15/Infinitym | avg=3.7m var=1.85
limo1 : SCAN_LOG: t=19:00:23.125 | min_dist=1.02m@-120° | obstacles(<0.5m)=0 | F/L/R/B=3.74/3.55/1.02/Infinitym | avg=5.83m var=2.19
limo2 : SCAN_LOG: t=19:00:23.125 | min_dist=2.04m@-34° | obstacles(<0.5m)=0 | F/L/R/B=2.04/3.85/2.07/Infinitym | avg=3.62m var=1.86
